BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,,,,,,,,,
transportation_v12.nlogo,,,,,,,,,,,,,,,,,
proofs-threshholds,,,,,,,,,,,,,,,,,
02/01/2025 09:58:18:046 -0500,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,
0,149,0,149,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[run number],[step],count people,(count people with [t-type = 1]) / (count people),(count people with [t-type = 2]) / (count people),(count people with [t-type = 3]) / (count people),"count people with [type-choice = ""repetition""]","count people with [type-choice = ""imitation""]","count people with [type-choice = ""deliberation""]","count people with [type-choice = ""inquiry""]",mean [satisfaction] of people with [t-type = 1],mean [satisfaction] of people with [t-type = 2],mean [satisfaction] of people with [t-type = 3],mean [satisfaction] of people,mean [uncertainty] of people with [t-type = 1],mean [uncertainty] of people with [t-type = 2],mean [uncertainty] of people with [t-type = 3],mean [uncertainty] of people
2,362,17112,0.556510051,0.318256194,0.125233754,10432,388,132,6160,0.395597467,0.434001359,0.559147293,0.428301702,0.334459214,0.445997095,0.542773963,0.396044874
9,61,17112,0.39954418,0.259291725,0.341164095,10170,1772,136,5034,0.437320769,0.471602502,0.536454411,0.480030578,0.362274241,0.474881159,0.413446895,0.408930555
5,61,17112,0.402875175,0.262856475,0.33426835,10166,1869,99,4978,0.434051331,0.472505614,0.536992056,0.478569115,0.359374245,0.473781482,0.416151466,0.408425756
2,392,17112,0.561126695,0.319074334,0.119798971,10452,366,163,6131,0.395701026,0.432255332,0.559448022,0.426981288,0.332047402,0.444443856,0.546674531,0.393622335
13,61,17112,0.403517999,0.260460496,0.336021505,10210,1848,103,4951,0.436188993,0.470467413,0.538064871,0.479349653,0.362624328,0.471592509,0.415796223,0.408873135
2,61,17112,0.401764843,0.261570827,0.336664329,10222,1752,95,5043,0.436702526,0.470178448,0.537100224,0.479259174,0.360208962,0.471577271,0.416386749,0.40825272
2,422,17112,0.56486676,0.319658719,0.115474521,10463,330,143,6176,0.394063656,0.431612451,0.561614812,0.425414345,0.330292275,0.444820029,0.551031113,0.392391781
2,452,17112,0.569249649,0.319950912,0.110799439,10473,319,155,6165,0.393672633,0.430542293,0.561527079,0.424067293,0.32916083,0.444517449,0.553089041,0.390880406
2,482,17112,0.571411875,0.320885928,0.107702197,10479,308,165,6160,0.392525343,0.429645406,0.559839903,0.422456794,0.327104987,0.445062931,0.553586775,0.389348618
2,512,17112,0.574450678,0.321061244,0.104488079,10491,273,140,6208,0.391015941,0.429544112,0.562441965,0.421297819,0.327177068,0.445065663,0.55855494,0.389202756
